page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
1,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
2,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1087,32.4948,731.04514,89.88007999999996,584.6099999999999,
3,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
4,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
5,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
6,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
7,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
8,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,731.04514,88.87651999999997,584.6099999999999,
9,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,738.05242,88.87651999999997,584.6099999999999,
10,792.0,612.0,0,792.00x612.00/rot=0,False,True,first_data_pages_2_10,1314,41.054610000000004,738.05242,88.87651999999997,584.6099999999999,
11,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
12,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
13,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
14,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
15,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
16,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
17,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
18,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
19,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
20,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
21,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
22,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
23,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
24,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
25,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
26,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
27,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
28,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
29,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
30,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
31,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
32,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
33,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
34,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
35,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
36,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
37,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
38,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
39,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
40,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
41,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
42,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
43,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
44,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
45,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
46,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
47,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
48,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
49,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
50,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
51,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
