page_number,template_family,section_code,column_name,source_label,source_type,center,left_boundary,right_boundary,header_x0,header_x1,assigned_token_count
2,intro_data_ka1_ka10,KA1_KA10,salary_from,salary_from_observed,salary_observed,41.0546,26.9546,55.1546,,,28
2,intro_data_ka1_ka10,KA1_KA10,salary_to,salary_to_observed,salary_observed,69.2546,55.1546,79.5793,,,28
2,intro_data_ka1_ka10,KA1_KA10,B,B,header_left_anchor,89.9040,79.5793,104.4220,89.9040,94.1461,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_K,K,header_left_anchor,118.9400,104.4220,131.5400,118.9400,123.1821,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA1,KA1,header_left_anchor,144.1400,131.5400,158.6600,144.1400,156.0762,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA2,KA2,header_left_anchor,173.1800,158.6600,187.7000,173.1800,185.1162,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA3,KA3,header_left_anchor,202.2200,187.7000,216.7400,202.2200,214.1562,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA4,KA4,header_left_anchor,231.2600,216.7400,245.7950,231.2600,243.1962,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA5,KA5,header_left_anchor,260.3300,245.7950,274.8500,260.3300,272.2662,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA6,KA6,header_left_anchor,289.3700,274.8500,303.8900,289.3700,301.3062,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA7,KA7,header_left_anchor,318.4100,303.8900,332.9300,318.4100,330.3462,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA8,KA8,header_left_anchor,347.4500,332.9300,361.9700,347.4500,359.3862,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA9,KA9,header_left_anchor,376.4900,361.9700,390.1700,376.4900,388.4262,28
2,intro_data_ka1_ka10,KA1_KA10,cat2_KA10,KA10,header_left_anchor,403.8500,390.1700,421.1400,403.8500,419.2603,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_K,K,header_left_anchor,438.4300,421.1400,451.0300,438.4300,442.6721,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA1,KA1,header_left_anchor,463.6300,451.0300,478.1500,463.6300,475.5662,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA2,KA2,header_left_anchor,492.6700,478.1500,507.1900,492.6700,504.6062,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA3,KA3,header_left_anchor,521.7100,507.1900,536.2300,521.7100,533.6462,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA4,KA4,header_left_anchor,550.7500,536.2300,565.2700,550.7500,562.6862,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA5,KA5,header_left_anchor,579.7900,565.2700,594.3250,579.7900,591.7262,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA6,KA6,header_left_anchor,608.8600,594.3250,623.3800,608.8600,620.7962,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA7,KA7,header_left_anchor,637.9000,623.3800,652.4200,637.9000,649.8362,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA8,KA8,header_left_anchor,666.9400,652.4200,681.4600,666.9400,678.8762,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA9,KA9,header_left_anchor,695.9800,681.4600,709.6600,695.9800,707.9162,28
2,intro_data_ka1_ka10,KA1_KA10,cat3_KA10,KA10,header_left_anchor,723.3400,709.6600,792.0000,723.3400,738.7503,28
3,normal_ka1_ka10,KA1_KA10,salary_from,salary_from_observed,salary_observed,41.0546,26.9546,55.1546,,,47
3,normal_ka1_ka10,KA1_KA10,salary_to,salary_to_observed,salary_observed,69.2546,55.1546,79.5793,,,47
3,normal_ka1_ka10,KA1_KA10,B,B,header_left_anchor,89.9040,79.5793,104.4220,89.9040,94.1461,47
3,normal_ka1_ka10,KA1_KA10,cat2_K,K,header_left_anchor,118.9400,104.4220,131.5400,118.9400,123.1821,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA1,KA1,header_left_anchor,144.1400,131.5400,158.6600,144.1400,156.0762,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA2,KA2,header_left_anchor,173.1800,158.6600,187.7000,173.1800,185.1162,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA3,KA3,header_left_anchor,202.2200,187.7000,216.7400,202.2200,214.1562,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA4,KA4,header_left_anchor,231.2600,216.7400,245.7950,231.2600,243.1962,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA5,KA5,header_left_anchor,260.3300,245.7950,274.8500,260.3300,272.2662,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA6,KA6,header_left_anchor,289.3700,274.8500,303.8900,289.3700,301.3062,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA7,KA7,header_left_anchor,318.4100,303.8900,332.9300,318.4100,330.3462,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA8,KA8,header_left_anchor,347.4500,332.9300,361.9700,347.4500,359.3862,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA9,KA9,header_left_anchor,376.4900,361.9700,390.1700,376.4900,388.4262,47
3,normal_ka1_ka10,KA1_KA10,cat2_KA10,KA10,header_left_anchor,403.8500,390.1700,421.1400,403.8500,419.2603,47
3,normal_ka1_ka10,KA1_KA10,cat3_K,K,header_left_anchor,438.4300,421.1400,451.0300,438.4300,442.6721,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA1,KA1,header_left_anchor,463.6300,451.0300,478.1500,463.6300,475.5662,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA2,KA2,header_left_anchor,492.6700,478.1500,507.1900,492.6700,504.6062,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA3,KA3,header_left_anchor,521.7100,507.1900,536.2300,521.7100,533.6462,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA4,KA4,header_left_anchor,550.7500,536.2300,565.2700,550.7500,562.6862,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA5,KA5,header_left_anchor,579.7900,565.2700,594.3250,579.7900,591.7262,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA6,KA6,header_left_anchor,608.8600,594.3250,623.3800,608.8600,620.7962,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA7,KA7,header_left_anchor,637.9000,623.3800,652.4200,637.9000,649.8362,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA8,KA8,header_left_anchor,666.9400,652.4200,681.4600,666.9400,678.8762,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA9,KA9,header_left_anchor,695.9800,681.4600,709.6600,695.9800,707.9162,47
3,normal_ka1_ka10,KA1_KA10,cat3_KA10,KA10,header_left_anchor,723.3400,709.6600,792.0000,723.3400,738.7503,47
10,normal_ka1_ka10,KA1_KA10,salary_from,salary_from_observed,salary_observed,41.0546,26.9546,55.1546,,,47
10,normal_ka1_ka10,KA1_KA10,salary_to,salary_to_observed,salary_observed,69.2546,55.1546,79.5793,,,47
