page_number,template_family,section_code,row_index,center,top_boundary,bottom_boundary,salary_from,salary_to,line_token_count,expected_cell_count,assigned_cell_token_count,line_text
2,intro_data_ka1_ka10,KA1_KA10,1,311.0672,307.2272,314.9072,3141,3145,26,25,25,3141 - 3145 1.00 - - - - - - - - - - - 1.00 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,2,318.7472,314.9072,322.5872,3146,3150,26,25,25,3146 - 3150 1.15 - - - - - - - - - - - 1.15 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,3,326.4272,322.5872,330.2672,3151,3155,26,25,25,3151 - 3155 1.30 - - - - - - - - - - - 1.30 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,4,334.1072,330.2672,337.9472,3156,3160,26,25,25,3156 - 3160 1.45 - - - - - - - - - - - 1.45 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,5,341.7872,337.9472,345.6272,3161,3165,26,25,25,3161 - 3165 1.60 - - - - - - - - - - - 1.60 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,6,349.4672,345.6272,353.3072,3166,3170,26,25,25,3166 - 3170 1.75 - - - - - - - - - - - 1.75 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,7,357.1472,353.3072,360.9872,3171,3175,26,25,25,3171 - 3175 1.90 - - - - - - - - - - - 1.90 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,8,364.8272,360.9872,368.6672,3176,3180,26,25,25,3176 - 3180 2.05 - - - - - - - - - - - 2.05 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,9,372.5072,368.6672,376.3472,3181,3185,26,25,25,3181 - 3185 2.20 - - - - - - - - - - - 2.20 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,10,380.1872,376.3472,384.0422,3186,3190,26,25,25,3186 - 3190 2.35 - - - - - - - - - - - 2.35 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,11,387.8972,384.0422,391.7372,3191,3195,26,25,25,3191 - 3195 2.50 - - - - - - - - - - - 2.50 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,12,395.5772,391.7372,399.4172,3196,3200,26,25,25,3196 - 3200 2.65 - - - - - - - - - - - 2.65 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,13,403.2572,399.4172,407.0972,3201,3205,26,25,25,3201 - 3205 2.80 - - - - - - - - - - - 2.80 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,14,410.9372,407.0972,414.7772,3206,3210,26,25,25,3206 - 3210 2.95 - - - - - - - - - - - 2.95 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,15,418.6172,414.7772,422.4572,3211,3215,26,25,25,3211 - 3215 3.10 - - - - - - - - - - - 3.10 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,16,426.2972,422.4572,430.1372,3216,3220,26,25,25,3216 - 3220 3.25 - - - - - - - - - - - 3.25 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,17,433.9772,430.1372,437.8172,3221,3225,26,25,25,3221 - 3225 3.40 - - - - - - - - - - - 3.40 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,18,441.6572,437.8172,445.4972,3226,3230,26,25,25,3226 - 3230 3.55 - - - - - - - - - - - 3.55 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,19,449.3372,445.4972,453.1772,3231,3235,26,25,25,3231 - 3235 3.70 - - - - - - - - - - - 3.70 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,20,457.0172,453.1772,460.8572,3236,3240,26,25,25,3236 - 3240 3.85 - - - - - - - - - - - 3.85 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,21,464.6972,460.8572,468.5372,3241,3245,26,25,25,3241 - 3245 4.00 - - - - - - - - - - - 4.00 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,22,472.3772,468.5372,476.2172,3246,3250,26,25,25,3246 - 3250 4.15 - - - - - - - - - - - 4.15 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,23,480.0572,476.2172,483.8972,3251,3255,26,25,25,3251 - 3255 4.30 - - - - - - - - - - - 4.30 - - - - - - - - - -
2,intro_data_ka1_ka10,KA1_KA10,24,487.7372,483.8972,491.5772,3256,3260,26,25,25,3256 - 3260 4.45 - - - - - - - - - - - 4.45 - - - - - - - - - -
