source_page,template_family,section_code,parsed_grid_rows,canonical_records,populated_records,observed_dash_records,provenance_path
2,intro_data_ka1_ka10,KA1_KA10,28,644,56,588,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
3,normal_ka1_ka10,KA1_KA10,47,1081,143,938,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
4,normal_ka1_ka10,KA1_KA10,47,1081,210,871,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
5,normal_ka1_ka10,KA1_KA10,47,1081,272,809,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
6,normal_ka1_ka10,KA1_KA10,47,1081,400,681,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
7,normal_ka1_ka10,KA1_KA10,47,1081,524,557,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
8,normal_ka1_ka10,KA1_KA10,47,1081,660,421,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
9,normal_ka1_ka10,KA1_KA10,47,1081,794,287,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
10,normal_ka1_ka10,KA1_KA10,47,1081,878,203,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
11,normal_ka1_ka10,KA1_KA10,47,1081,952,129,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
12,normal_ka1_ka10,KA1_KA10,47,1081,1013,68,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
13,normal_ka1_ka10,KA1_KA10,47,1081,1074,7,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
14,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
15,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
16,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
17,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
18,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
19,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
20,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
21,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
22,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
23,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
24,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
25,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
26,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
27,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
28,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
29,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
30,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
31,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
32,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
33,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
34,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
35,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
36,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
37,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
38,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
39,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
40,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
41,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
42,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
43,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
44,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
45,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
46,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
47,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
48,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
49,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
50,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
51,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
52,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
53,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
